SGID	FeatureType	FeatureQualifier	FeatureName	common_name	parent_name	SGID2	chr	start	end
S000003581	ORF	Verified	YJL045W		chromosome 10		10	356024	357928
S000035600	CDS				YJL045W		10	356024	357928
S000003580	ORF	Verified	YJL044C	GYP6	chromosome 10	L000000748	10	359676	358300
S000035463	CDS				YJL044C		10	359676	358300
S000003579	ORF	Uncharacterized	YJL043W		chromosome 10		10	360130	360903
S000035409	CDS				YJL043W		10	360130	360903
S000003578	ORF	Verified	YJL042W	MHP1	chromosome 10	L000002720	10	361249	365445
S000034384	CDS				YJL042W		10	361249	365445
S000003577	ORF	Verified	YJL041W	NSP1	chromosome 10	L000001277	10	365784	368373
S000034258	CDS				YJL041W		10	365784	365784
S000034259	CDS				YJL041W		10	365903	368373
S000034260	intron				YJL041W		10	365785	365902
S000003576	ORF	Verified	YJL039C	NUP192	chromosome 10	S000007465	10	373799	368748
S000034602	CDS				YJL039C		10	373799	368748
S000006538	tRNA_gene		tD(GUC)J3		chromosome 10	L000003625	10	374495	374424
S000030793	noncoding_exon				tD(GUC)J3		10	374495	374424
S000006715	tRNA_gene		tR(UCU)J2		chromosome 10	L000003624	10	374577	374506
S000030328	noncoding_exon				tR(UCU)J2		10	374577	374506
S000028449	ARS		ARS1012		chromosome 10		10	374880	375122
S000007025	long_terminal_repeat		YJLCdelta6		chromosome 10		10	374935	374844
S000028450	ARS		ARS1013		chromosome 10		10	375706	376227
S000003575	ORF	Verified	YJL038C	LOH1	chromosome 10		10	375774	375115
S000034497	CDS				YJL038C		10	375774	375115
S000003574	ORF	Verified	YJL037W	IRC18	chromosome 10		10	376662	377336
S000034457	CDS				YJL037W		10	376662	377336
S000007026	long_terminal_repeat		YJLCdelta7		chromosome 10		10	377870	377598
S000006759	tRNA_gene		tV(AAC)J		chromosome 10	L000003610	10	378360	378433
S000032964	noncoding_exon				tV(AAC)J		10	378360	378433
S000003573	ORF	Verified	YJL036W	SNX4	chromosome 10	S000007467|L000004764	10	378825	380096
S000032435	CDS				YJL036W		10	378825	380096
S000003572	ORF	Verified	YJL035C	TAD2	chromosome 10	S000007489	10	381001	380249
S000032286	CDS				YJL035C		10	381001	380249
S000003571	ORF	Verified	YJL034W	KAR2	chromosome 10	L000000887	10	381327	383375
S000032230	CDS				YJL034W		10	381327	383375
S000003570	ORF	Verified	YJL033W	HCA4	chromosome 10	L000003421	10	383837	386149
S000031248	CDS				YJL033W		10	383837	386149
S000003569	ORF	Dubious	YJL032W		chromosome 10		10	386348	386662
S000031093	CDS				YJL032W		10	386348	386662
S000003568	ORF	Verified	YJL031C	BET4	chromosome 10	L000000173	10	387438	386368
S000030060	CDS				YJL031C		10	387348	386368
S000030059	CDS				YJL031C		10	387438	387436
S000030061	intron				YJL031C		10	387435	387349
S000003567	ORF	Verified	YJL030W	MAD2	chromosome 10	L000000975	10	387657	388247
S000030009	CDS				YJL030W		10	387657	388247
S000003566	ORF	Verified	YJL029C	VPS53	chromosome 10		10	390853	388385
S000030293	CDS				YJL029C		10	390853	388385
S000006661	tRNA_gene		tM(CAU)J1	EMT5	chromosome 10	L000000555|L000003623	10	391115	391043
S000029920	noncoding_exon				tM(CAU)J1		10	391115	391043
S000003565	ORF	Verified	YJL028W		chromosome 10		10	391311	391646
S000030214	CDS				YJL028W		10	391311	391646
S000003564	ORF	Uncharacterized	YJL027C		chromosome 10		10	392249	391833
S000036407	CDS				YJL027C		10	392249	391833
S000003563	ORF	Verified	YJL026W	RNR2	chromosome 10	L000001656	10	392404	393603
S000036365	CDS				YJL026W		10	392404	393603
S000028660	ORF	Dubious	YJL026C-A		chromosome 10		10	393287	393066
S000032485	CDS				YJL026C-A		10	393287	393066
S000003562	ORF	Verified	YJL025W	RRN7	chromosome 10	L000001773	10	393967	395511
S000036283	CDS				YJL025W		10	393967	395511
S000003561	ORF	Verified	YJL024C	APS3	chromosome 10	L000003174	10	396592	395931
S000036076	CDS				YJL024C		10	396493	395931
S000036075	CDS				YJL024C		10	396592	396571
S000036077	intron				YJL024C		10	396570	396494
S000006583	tRNA_gene		tG(GCC)J1		chromosome 10	L000003622	10	396796	396726
S000030415	noncoding_exon				tG(GCC)J1		10	396796	396726
S000003559	ORF	Dubious	YJL022W		chromosome 10		10	398109	398417
S000035121	CDS				YJL022W		10	398109	398417
S000003560	ORF	Verified	YJL023C	PET130	chromosome 10	L000003025	10	398398	397355
S000035183	CDS				YJL023C		10	398398	397355
S000028659	ORF	Dubious	YJL020W-A		chromosome 10		10	400981	401238
S000032463	CDS				YJL020W-A		10	400981	401238
S000003557	ORF	Verified	YJL020C	BBC1	chromosome 10		10	402410	398937
S000033969	CDS				YJL020C		10	402410	398937
S000003556	ORF	Verified	YJL019W	MPS3	chromosome 10		10	402897	404945
S000035368	CDS				YJL019W		10	402897	404945
S000003553	ORF	Uncharacterized	YJL016W	TPH3	chromosome 10		10	405588	407273
S000034286	CDS				YJL016W		10	405588	407273
S000003552	ORF	Dubious	YJL015C		chromosome 10		10	407426	407142
S000034109	CDS				YJL015C		10	407426	407142
S000003551	ORF	Verified	YJL014W	CCT3	chromosome 10	L000002270	10	407558	409162
S000034079	CDS				YJL014W		10	407558	409162
S000003550	ORF	Verified	YJL013C	MAD3	chromosome 10	L000003179	10	411040	409493
S000032025	CDS				YJL013C		10	411040	409493
S000003549	ORF	Verified	YJL012C	VTC4	chromosome 10	S000007513	10	413399	411234
S000031895	CDS				YJL012C		10	413399	411234
S000003548	ORF	Verified	YJL011C	RPC17	chromosome 10		10	414770	414285
S000030894	CDS				YJL011C		10	414770	414285
S000006625	tRNA_gene		tK(CUU)J		chromosome 10	L000003611	10	414966	415038
S000036030	noncoding_exon				tK(CUU)J		10	414966	415038
S000006773	tRNA_gene		tW(CCA)J		chromosome 10	L000003621	10	416036	415931
S000033314	intron				tW(CCA)J		10	416000	415967
S000033313	noncoding_exon				tW(CCA)J		10	415966	415931
S000033312	noncoding_exon				tW(CCA)J		10	416036	416001
S000007047	long_terminal_repeat		YJLWtau3		chromosome 10		10	416266	416441
S000007029	long_terminal_repeat		YJLWdelta8		chromosome 10		10	416506	416650
S000007030	long_terminal_repeat		YJLWdelta9		chromosome 10		10	416899	417026
S000028451	ARS		ARS1014		chromosome 10		10	417195	417440
S000003547	ORF	Verified	YJL010C	NOP9	chromosome 10		10	419562	417562
S000030801	CDS				YJL010C		10	419562	417562
S000003546	ORF	Dubious	YJL009W		chromosome 10		10	419855	420181
S000031233	CDS				YJL009W		10	419855	420181
S000003545	ORF	Verified	YJL008C	CCT8	chromosome 10	L000002764	10	421663	419957
S000031107	CDS				YJL008C		10	421663	419957
S000007038	long_terminal_repeat		YJLWtau4		chromosome 10		10	421946	422295
S000007031	long_terminal_repeat		YJLWdelta10		chromosome 10		10	422601	422887
S000006662	tRNA_gene		tM(CAU)J2	EMT3	chromosome 10	L000000553|L000003612	10	422937	423009
S000029922	noncoding_exon				tM(CAU)J2		10	422937	423009
S000003544	ORF	Uncharacterized	YJL007C		chromosome 10		10	423012	422698
S000031008	CDS				YJL007C		10	423012	422698
S000003543	ORF	Verified	YJL006C	CTK2	chromosome 10	L000003011	10	424109	423138
S000030929	CDS				YJL006C		10	424109	423138
S000006650	tRNA_gene		tL(UAA)J	SUP51	chromosome 10	L000002209|L000003620	10	424515	424432
S000037406	noncoding_exon				tL(UAA)J		10	424515	424432
S000003542	ORF	Verified	YJL005W	CYR1	chromosome 10	L000000467	10	425157	431237
S000029993	CDS				YJL005W		10	425157	431237
S000003541	ORF	Verified	YJL004C	SYS1	chromosome 10	L000004153	10	432200	431589
S000037910	CDS				YJL004C		10	432200	431589
S000003540	ORF	Verified	YJL003W	COX16	chromosome 10		10	432644	433000
S000037880	CDS				YJL003W		10	432644	433000
S000003539	ORF	Verified	YJL002C	OST1	chromosome 10	L000002649	10	434651	433221
S000035955	CDS				YJL002C		10	434651	433221
S000003538	ORF	Verified	YJL001W	PRE3	chromosome 10	L000000418|L000001485	10	435163	435926
S000035909	CDS				YJL001W		10	435163	435227
S000035910	CDS				YJL001W		10	435344	435926
S000035911	intron				YJL001W		10	435228	435343
S000006471	centromere		CEN10	CEN10	chromosome 10	L000000303	10	436425	436307
S000077296	centromere_DNA_Element_I				CEN10		10	436425	436416
S000077297	centromere_DNA_Element_II				CEN10		10	436415	436332
S000077298	centromere_DNA_Element_III				CEN10		10	436331	436307
S000003761	ORF	Verified	YJR001W	AVT1	chromosome 10		10	436802	438610
S000033093	CDS				YJR001W		10	436802	438610
S000003762	ORF	Verified	YJR002W	MPP10	chromosome 10	L000004335	10	438865	440646
S000033184	CDS				YJR002W		10	438865	440646
S000003763	ORF	Uncharacterized	YJR003C	MRX12	chromosome 10		10	442553	440994
S000033209	CDS				YJR003C		10	442553	440994
S000028452	ARS		ARS1015		chromosome 10		10	442556	442965
S000003764	ORF	Verified	YJR004C	SAG1	chromosome 10	L000001796	10	444861	442909
S000034030	CDS				YJR004C		10	444861	442909
S000003765	ORF	Verified	YJR005W	APL1	chromosome 10	L000002495	10	445923	448025
S000034176	CDS				YJR005W		10	445923	448025
S000028523	ORF	Verified	YJR005C-A	LSO1	chromosome 10		10	448758	448477
S000030322	CDS				YJR005C-A		10	448758	448477
S000003766	ORF	Verified	YJR006W	POL31	chromosome 10	L000002981	10	449202	450665
S000035159	CDS				YJR006W		10	449202	450665
S000003767	ORF	Verified	YJR007W	SUI2	chromosome 10	L000002178	10	451020	451934
S000035254	CDS				YJR007W		10	451020	451934
S000003768	ORF	Verified	YJR008W	MHO1	chromosome 10		10	452430	453446
S000035336	CDS				YJR008W		10	452430	453446
S000028453	ARS		ARS1016		chromosome 10		10	454584	455555
S000003769	ORF	Verified	YJR009C	TDH2	chromosome 10	L000002273	10	454681	453683
S000035380	CDS				YJR009C		10	454681	453683
S000003771	ORF	Verified	YJR010W	MET3	chromosome 10	L000001078	10	456239	457774
S000031767	CDS				YJR010W		10	456239	457774
S000003770	ORF	Verified	YJR010C-A	SPC1	chromosome 10	L000003006	10	458361	458077
S000037612	CDS				YJR010C-A		10	458361	458077
S000028454	ARS		ARS1017		chromosome 10		10	459337	459895
S000003772	ORF	Uncharacterized	YJR011C		chromosome 10		10	459426	458641
S000031827	CDS				YJR011C		10	459426	458641
S000003774	ORF	Verified	YJR013W	GPI14	chromosome 10		10	460382	461593
S000037491	CDS				YJR013W		10	460382	461593
S000003773	ORF	Uncharacterized	YJR012C		chromosome 10		10	460418	459795
S000031960	CDS				YJR012C		10	460418	459795
S000003775	ORF	Verified	YJR014W	TMA22	chromosome 10		10	461829	462425
S000037578	CDS				YJR014W		10	461829	462425
S000003776	ORF	Uncharacterized	YJR015W		chromosome 10		10	462721	464253
S000037660	CDS				YJR015W		10	462721	464253
S000003777	ORF	Verified	YJR016C	ILV3	chromosome 10	L000000859	10	466208	464451
S000037686	CDS				YJR016C		10	466208	464451
S000003779	ORF	Dubious	YJR018W		chromosome 10		10	466786	467148
S000030641	CDS				YJR018W		10	466786	467148
S000003778	ORF	Verified	YJR017C	ESS1	chromosome 10	L000000587	10	467033	466521
S000030503	CDS				YJR017C		10	467033	466521
S000003781	ORF	Dubious	YJR020W		chromosome 10		10	468001	468333
S000030190	CDS				YJR020W		10	468001	468333
S000003780	ORF	Verified	YJR019C	TES1	chromosome 10	L000003343	10	468281	467232
S000030681	CDS				YJR019C		10	468281	467232
S000003782	ORF	Verified	YJR021C	REC107	chromosome 10	L000001606	10	469579	468555
S000030251	CDS				YJR021C		10	469183	468555
S000030250	CDS				YJR021C		10	469579	469264
S000030252	intron				YJR021C		10	469263	469184
S000003783	ORF	Verified	YJR022W	LSM8	chromosome 10	L000004687	10	469784	470113
S000033657	CDS				YJR022W		10	469784	470113
S000003784	ORF	Dubious	YJR023C		chromosome 10		10	470205	469804
S000033704	CDS				YJR023C		10	470205	469804
S000003785	ORF	Verified	YJR024C	MDE1	chromosome 10		10	470964	470230
S000033856	CDS				YJR024C		10	470964	470230
S000003786	ORF	Verified	YJR025C	BNA1	chromosome 10	L000003490	10	471671	471138
S000033981	CDS				YJR025C		10	471671	471138
S000007040	long_terminal_repeat		YJRWdelta11		chromosome 10		10	472463	472800
S000007048	LTR_retrotransposon		YJRWTy1-1		chromosome 10		10	472463	478384
S000003787	transposable_element_gene		YJR026W		chromosome 10		10	472760	474082
S000034898	CDS				YJR026W		10	472760	474082
S000003788	transposable_element_gene		YJR027W		chromosome 10		10	472760	478028
S000035049	CDS				YJR027W		10	472760	474061
S000035050	CDS				YJR027W		10	474063	478028
S000035051	plus_1_translational_frameshift				YJR027W		10	474062	474062
S000007041	long_terminal_repeat		YJRWdelta12		chromosome 10		10	478051	478384
S000007049	LTR_retrotransposon		YJRWTy1-2		chromosome 10		10	478051	483972
S000003789	transposable_element_gene		YJR028W		chromosome 10		10	478344	479666
S000035151	CDS				YJR028W		10	478344	479666
S000003790	transposable_element_gene		YJR029W		chromosome 10		10	478344	483612
S000036043	CDS				YJR029W		10	478344	479644
S000036044	CDS				YJR029W		10	479646	483612
S000036045	plus_1_translational_frameshift				YJR029W		10	479645	479645
S000007042	long_terminal_repeat		YJRWdelta13		chromosome 10		10	483635	483972
S000003791	ORF	Uncharacterized	YJR030C	RBH2	chromosome 10		10	486196	483959
S000034642	CDS				YJR030C		10	486196	483959
S000003792	ORF	Verified	YJR031C	GEA1	chromosome 10	L000004312	10	490812	486586
S000034771	CDS				YJR031C		10	490812	486586
S000003793	ORF	Verified	YJR032W	CPR7	chromosome 10	L000003230	10	491081	492262
S000035830	CDS				YJR032W		10	491081	492262
S000003794	ORF	Verified	YJR033C	RAV1	chromosome 10	S000029472|L000002969	10	496451	492378
S000035875	CDS				YJR033C		10	496451	492378
S000003795	ORF	Verified	YJR034W	PET191	chromosome 10	L000001400	10	496683	497009
S000037813	CDS				YJR034W		10	496683	497009
S000003796	ORF	Verified	YJR035W	RAD26	chromosome 10	L000001569	10	497355	500612
S000037907	CDS				YJR035W		10	497355	500612
S000003798	ORF	Dubious	YJR037W		chromosome 10		10	503102	503485
S000030927	CDS				YJR037W		10	503102	503485
S000003797	ORF	Verified	YJR036C	HUL4	chromosome 10		10	503391	500713
S000029850	CDS				YJR036C		10	503391	500713
S000003800	ORF	Uncharacterized	YJR039W		chromosome 10		10	503936	507301
S000031105	CDS				YJR039W		10	503936	507301
S000003799	ORF	Dubious	YJR038C		chromosome 10		10	504072	503710
S000030967	CDS				YJR038C		10	504072	503710
S000003801	ORF	Verified	YJR040W	GEF1	chromosome 10	L000000701	10	507746	510085
S000030664	CDS				YJR040W		10	507746	510085
S000003802	ORF	Verified	YJR041C	URB2	chromosome 10		10	513763	510239
S000030713	CDS				YJR041C		10	513763	510239
S000003803	ORF	Verified	YJR042W	NUP85	chromosome 10	L000003023	10	514055	516289
S000030892	CDS				YJR042W		10	514055	516289
S000003804	ORF	Verified	YJR043C	POL32	chromosome 10	L000004337|S000029416|L000001617	10	517513	516461
S000031802	CDS				YJR043C		10	517513	516461
S000006663	tRNA_gene		tM(CAU)J3	IMT3	chromosome 10	L000003619	10	517884	517813
S000029924	noncoding_exon				tM(CAU)J3		10	517884	517813
S000007043	long_terminal_repeat		YJRWdelta14		chromosome 10		10	517959	518099
S000003805	ORF	Verified	YJR044C	VPS55	chromosome 10		10	519185	518763
S000031950	CDS				YJR044C		10	519185	518763
S000003806	ORF	Verified	YJR045C	SSC1	chromosome 10	L000000561	10	521602	519638
S000032104	CDS				YJR045C		10	521602	519638
S000003807	ORF	Verified	YJR046W	TAH11	chromosome 10	L000004733	10	522048	523862
S000034108	CDS				YJR046W		10	522048	523862
S000006727	tRNA_gene		tS(AGA)J		chromosome 10	L000003618	10	524093	524012
S000032380	noncoding_exon				tS(AGA)J		10	524093	524012
S000003808	ORF	Verified	YJR047C	ANB1	chromosome 10	L000000085|L000000846|L000002308	10	525381	524908
S000034179	CDS				YJR047C		10	525381	524908
S000003809	ORF	Verified	YJR048W	CYC1	chromosome 10	L000000448	10	526335	526664
S000034309	CDS				YJR048W		10	526335	526664
S000003810	ORF	Verified	YJR049C	UTR1	chromosome 10	L000002680	10	528476	526884
S000034337	CDS				YJR049C		10	528476	526884
S000003811	ORF	Verified	YJR050W	ISY1	chromosome 10	L000002730	10	528697	529404
S000033850	CDS				YJR050W		10	528697	529404
S000003812	ORF	Verified	YJR051W	OSM1	chromosome 10	L000001317	10	529861	531366
S000033966	CDS				YJR051W		10	529861	531366
S000007032	long_terminal_repeat		YJRCdelta15		chromosome 10		10	531675	531516
S000006584	tRNA_gene		tG(GCC)J2	SUF23	chromosome 10	L000003613|S000029541|L000002170	10	531828	531898
S000030417	noncoding_exon				tG(GCC)J2		10	531828	531898
S000003813	ORF	Verified	YJR052W	RAD7	chromosome 10	L000001561	10	532062	533759
S000034844	CDS				YJR052W		10	532062	533759
S000003814	ORF	Verified	YJR053W	BFA1	chromosome 10		10	534027	535751
S000034983	CDS				YJR053W		10	534027	535751
S000003815	ORF	Verified	YJR054W	KCH1	chromosome 10		10	536056	537549
S000035180	CDS				YJR054W		10	536056	537549
S000007033	long_terminal_repeat		YJRCdelta16		chromosome 10		10	538041	537741
S000007044	long_terminal_repeat		YJRWdelta17		chromosome 10		10	538103	538434
S000006707	tRNA_gene		tR(CCU)J	HSX1	chromosome 10		10	538555	538626
S000032860	noncoding_exon				tR(CCU)J		10	538555	538626
S000003816	ORF	Verified	YJR055W	HIT1	chromosome 10	L000000786	10	538772	539266
S000036066	CDS				YJR055W		10	538772	539266
S000028455	ARS		ARS1018		chromosome 10		10	540546	540780
S000007045	long_terminal_repeat		YJRWdelta18		chromosome 10		10	540766	541087
S000007034	long_terminal_repeat		YJRCdelta19		chromosome 10		10	541427	541095
S000006539	tRNA_gene		tD(GUC)J4		chromosome 10	L000003615	10	541508	541579
S000030795	noncoding_exon				tD(GUC)J4		10	541508	541579
S000003817	ORF	Verified	YJR056C		chromosome 10		10	542502	541792
S000036154	CDS				YJR056C		10	542502	541792
S000006782	tRNA_gene		tY(GUA)J2	SUP4	chromosome 10	L000003617|L000002183	10	543044	542956
S000032087	intron				tY(GUA)J2		10	543005	542992
S000032086	noncoding_exon				tY(GUA)J2		10	542991	542956
S000032085	noncoding_exon				tY(GUA)J2		10	543044	543006
S000007046	long_terminal_repeat		YJRWdelta20		chromosome 10		10	543448	543770
S000003818	ORF	Verified	YJR057W	CDC8	chromosome 10	L000000248	10	544062	544712
S000036320	CDS				YJR057W		10	544062	544712
S000003819	ORF	Verified	YJR058C	APS2	chromosome 10	L000002492	10	545175	544732
S000036359	CDS				YJR058C		10	545175	544732
S000003820	ORF	Verified	YJR059W	PTK2	chromosome 10	L000003492	10	545787	548243
S000030117	CDS				YJR059W		10	545787	548243
S000003821	ORF	Verified	YJR060W	CBF1	chromosome 10	L000000311|L000000401	10	548759	549814
S000037892	CDS				YJR060W		10	548759	549814
S000003822	ORF	Uncharacterized	YJR061W		chromosome 10		10	550511	553318
S000029930	CDS				YJR061W		10	550511	553318
S000003823	ORF	Verified	YJR062C	NTA1	chromosome 10	L000001279	10	554849	553476
S000029976	CDS				YJR062C		10	554849	553476
S000003824	ORF	Verified	YJR063W	RPA12	chromosome 10	L000001672	10	555195	555572
S000031049	CDS				YJR063W		10	555195	555572
S000003825	ORF	Verified	YJR064W	CCT5	chromosome 10	L000002717	10	555914	557602
S000031152	CDS				YJR064W		10	555914	557602
S000003826	ORF	Verified	YJR065C	ARP3	chromosome 10	L000003198	10	559158	557809
S000031207	CDS				YJR065C		10	559158	557809
S000003827	ORF	Verified	YJR066W	TOR1	chromosome 10	L000002322	10	559416	566828
S000032272	CDS				YJR066W		10	559416	566828
S000003828	ORF	Verified	YJR067C	YAE1	chromosome 10	L000004159	10	567444	567019
S000032323	CDS				YJR067C		10	567444	567019
S000003829	ORF	Verified	YJR068W	RFC2	chromosome 10	L000001623	10	567643	568704
S000032475	CDS				YJR068W		10	567643	568704
S000003830	ORF	Verified	YJR069C	HAM1	chromosome 10	L000003233	10	569399	568806
S000034432	CDS				YJR069C		10	569399	568806
S000003832	ORF	Dubious	YJR071W		chromosome 10		10	570405	570773
S000033295	CDS				YJR071W		10	570405	570773
S000003831	ORF	Verified	YJR070C	LIA1	chromosome 10		10	570598	569621
S000033205	CDS				YJR070C		10	570598	569621
S000003833	ORF	Verified	YJR072C	NPA3	chromosome 10		10	572124	570967
S000034114	CDS				YJR072C		10	572124	570967
S000003834	ORF	Verified	YJR073C	OPI3	chromosome 10	L000001304	10	572935	572315
S000034233	CDS				YJR073C		10	572935	572315
S000003835	ORF	Verified	YJR074W	MOG1	chromosome 10	L000004615	10	573095	573751
S000034411	CDS				YJR074W		10	573095	573751
S000003836	ORF	Verified	YJR075W	HOC1	chromosome 10	L000003274	10	573981	575171
S000035455	CDS				YJR075W		10	573981	575171
S000003837	ORF	Verified	YJR076C	CDC11	chromosome 10	L000000251	10	576601	575354
S000035494	CDS				YJR076C		10	576601	575354
S000003838	ORF	Verified	YJR077C	MIR1	chromosome 10	L000001114	10	578190	577255
S000035596	CDS				YJR077C		10	578190	577255
S000003839	ORF	Verified	YJR078W	BNA2	chromosome 10		10	578860	580221
S000036561	CDS				YJR078W		10	578860	580221
S000003840	ORF	Uncharacterized	YJR079W		chromosome 10		10	580205	581239
S000036624	CDS				YJR079W		10	580205	580347
S000036625	CDS				YJR079W		10	581053	581239
S000036626	intron				YJR079W		10	580348	581052
S000003841	ORF	Verified	YJR080C	AIM24	chromosome 10		10	581616	580432
S000037402	CDS				YJR080C		10	581616	580432
S000003842	ORF	Verified	YJR082C	EAF6	chromosome 10		10	582255	581914
S000030287	CDS				YJR082C		10	582255	581914
S000003843	ORF	Verified	YJR083C	ACF4	chromosome 10		10	583537	582608
S000030434	CDS				YJR083C		10	583537	582608
S000003844	ORF	Verified	YJR084W		chromosome 10	S000007581	10	583733	585004
S000031409	CDS				YJR084W		10	583733	585004
S000003845	ORF	Verified	YJR085C		chromosome 10		10	585437	585120
S000031477	CDS				YJR085C		10	585437	585120
S000003846	ORF	Verified	YJR086W	STE18	chromosome 10	L000002122	10	586068	586400
S000031665	CDS				YJR086W		10	586068	586400
S000003847	ORF	Dubious	YJR087W		chromosome 10		10	586400	586750
S000032646	CDS				YJR087W		10	586400	586750
S000003848	ORF	Verified	YJR088C	EMC2	chromosome 10		10	587373	586495
S000032686	CDS				YJR088C		10	587373	586495
S000003849	ORF	Verified	YJR089W	BIR1	chromosome 10	L000004754	10	587718	590582
S000032816	CDS				YJR089W		10	587718	590582
S000003850	ORF	Verified	YJR090C	GRR1	chromosome 10	L000000730	10	594327	590872
S000032905	CDS				YJR090C		10	594327	590872
S000003851	ORF	Verified	YJR091C	JSN1	chromosome 10	L000002964	10	598336	595061
S000033011	CDS				YJR091C		10	598336	595061
S000003852	ORF	Verified	YJR092W	BUD4	chromosome 10	L000000201	10	598735	603078
S000033797	CDS				YJR092W		10	598735	603078
S000003853	ORF	Verified	YJR093C	FIP1	chromosome 10	L000002775	10	604203	603220
S000033863	CDS				YJR093C		10	604203	603220
S000003854	ORF	Verified	YJR094C	IME1	chromosome 10	L000000861	10	605651	604569
S000034019	CDS				YJR094C		10	605651	604569
S000178119	ncRNA_gene		IRT1	IRT1	chromosome 10		10	607424	605936
S000178120	noncoding_exon				IRT1		10	607424	605936
S000003855	ORF	Verified	YJR094W-A	RPL43B	chromosome 10	L000004470	10	608305	608858
S000034757	CDS				YJR094W-A		10	608305	608306
S000034758	CDS				YJR094W-A		10	608582	608858
S000034759	intron				YJR094W-A		10	608307	608581
S000003856	ORF	Verified	YJR095W	SFC1	chromosome 10	L000000023	10	609773	610741
S000034990	CDS				YJR095W		10	609773	610741
S000003857	ORF	Verified	YJR096W		chromosome 10		10	611195	612043
S000035147	CDS				YJR096W		10	611195	612043
S000003858	ORF	Verified	YJR097W	JJJ3	chromosome 10		10	612413	612931
S000035313	CDS				YJR097W		10	612413	612931
S000028456	ARS		ARS1019		chromosome 10		10	612846	613278
S000003859	ORF	Uncharacterized	YJR098C		chromosome 10		10	615156	613186
S000036139	CDS				YJR098C		10	615156	613186
S000003860	ORF	Verified	YJR099W	YUH1	chromosome 10	L000002565	10	615576	616286
S000036337	CDS				YJR099W		10	615576	616286
S000003861	ORF	Verified	YJR100C	AIM25	chromosome 10		10	617334	616351
S000033573	CDS				YJR100C		10	617334	616351
S000006654	tRNA_gene		tL(UAG)J		chromosome 10	L000003616	10	617919	618019
S000035855	intron				tL(UAG)J		10	617957	617975
S000035853	noncoding_exon				tL(UAG)J		10	617919	617956
S000035854	noncoding_exon				tL(UAG)J		10	617976	618019
S000003862	ORF	Verified	YJR101W	RSM26	chromosome 10		10	618234	619034
S000034505	CDS				YJR101W		10	618234	619034
S000003863	ORF	Verified	YJR102C	VPS25	chromosome 10		10	619765	619157
S000034557	CDS				YJR102C		10	619765	619157
S000003864	ORF	Verified	YJR103W	URA8	chromosome 10	L000002437	10	620754	622490
S000034718	CDS				YJR103W		10	620754	622490
S000003865	ORF	Verified	YJR104C	SOD1	chromosome 10	L000001978	10	623014	622550
S000035647	CDS				YJR104C		10	623014	622550
S000003866	ORF	Verified	YJR105W	ADO1	chromosome 10		10	623581	624603
S000035831	CDS				YJR105W		10	623581	624603
S000003867	ORF	Verified	YJR106W	ECM27	chromosome 10	L000003898	10	624838	627015
S000035951	CDS				YJR106W		10	624838	627015
S000003868	ORF	Uncharacterized	YJR107W	LIH1	chromosome 10		10	627340	628326
S000037815	CDS				YJR107W		10	627340	628326
S000003869	ORF	Verified	YJR108W	ABM1	chromosome 10		10	628712	629083
S000037909	CDS				YJR108W		10	628712	629083
S000003870	ORF	Verified	YJR109C	CPA2	chromosome 10	L000000400	10	632941	629585
S000029885	CDS				YJR109C		10	632941	629585
S000003871	ORF	Verified	YJR110W	YMR1	chromosome 10		10	633615	635681
S000037677	CDS				YJR110W		10	633615	635681
S000003872	ORF	Verified	YJR111C	PXP2	chromosome 10		10	636706	635855
S000037709	CDS				YJR111C		10	636706	635855
S000003873	ORF	Verified	YJR112W	NNF1	chromosome 10	L000003072	10	637030	637635
S000037783	CDS				YJR112W		10	637030	637635
S000028513	ORF	Uncharacterized	YJR112W-A		chromosome 10		10	637790	638168
S000030277	CDS				YJR112W-A		10	637790	637809
S000030278	CDS				YJR112W-A		10	637859	638168
S000030279	intron				YJR112W-A		10	637810	637858
S000003875	ORF	Dubious	YJR114W		chromosome 10		10	638659	639051
S000030784	CDS				YJR114W		10	638659	639051
S000003874	ORF	Verified	YJR113C	RSM7	chromosome 10		10	638975	638232
S000030623	CDS				YJR113C		10	638975	638232
S000003876	ORF	Uncharacterized	YJR115W		chromosome 10		10	639942	640451
S000030893	CDS				YJR115W		10	639942	640451
S000003877	ORF	Uncharacterized	YJR116W	TDA4	chromosome 10		10	640825	641664
S000031858	CDS				YJR116W		10	640825	641664
S000003878	ORF	Verified	YJR117W	STE24	chromosome 10	L000003457	10	642007	643368
S000032024	CDS				YJR117W		10	642007	643368
S000003879	ORF	Verified	YJR118C	ILM1	chromosome 10		10	644101	643490
S000032105	CDS				YJR118C		10	644101	643490
S000003880	ORF	Verified	YJR119C	JHD2	chromosome 10		10	646490	644304
S000034072	CDS				YJR119C		10	646490	644304
S000003881	ORF	Verified	YJR120W		chromosome 10		10	647126	647476
S000032979	CDS				YJR120W		10	647126	647476
S000003882	ORF	Verified	YJR121W	ATP2	chromosome 10	L000000142	10	647607	649142
S000033071	CDS				YJR121W		10	647607	649142
S000003883	ORF	Verified	YJR122W	IBA57	chromosome 10	L000003419	10	649776	651269
S000033750	CDS				YJR122W		10	649776	651269
S000003884	ORF	Verified	YJR123W	RPS5	chromosome 10	L000002821	10	651901	652578
S000033852	CDS				YJR123W		10	651901	652578
